P = 0.01
45.81,14.670,2437.2,2583.9,8.1488
50,14.867,2443.3,2592.0,8.1741
100,17.196,2515.5,2687.5,8.4489
150,19.513,2587.9,2783.0,8.6893
200,21.826,2661.4,2879.6,8.9049
250,24.136,2736.1,2977.5,9.1015
300,26.446,2812.3,3076.7,9.2827
400,31.063,2969.3,3280.0,9.6094
500,35.680,3132.9,3489.7,9.8998
600,40.296,3303.3,3706.3,10.1631
700,44.911,3480.8,3929.9,10.4056
800,49.527,3665.4,4160.6,10.6312
900,54.143,3856.9,4398.3,10.8429
1000,58.758,4055.3,4642.8,11.0429
1100,63.373,4260.0,4893.8,11.2326
1200,67.989,4470.9,5150.8,11.4132
1300,72.604,4687.4,5413.4,11.5857

P = 0.05
81.32,3.2403,2483.2,2645.2,7.5931
100,3.4187,2511.5,2682.4,7.6953
150,3.8897,2585.7,2780.2,7.9413
200,4.3562,2660.0,2877.8,8.1592
250,4.8206,2735.1,2976.2,8.3568
300,5.2841,2811.6,3075.8,8.5387
400,6.2094,2968.9,3279.3,8.8659
500,7.1338,3132.6,3489.3,9.1566
600,8.0577,3303.1,3706.0,9.4201
700,8.9813,3480.6,3929.7,9.6626
800,9.9047,3665.2,4160.4,9.8883
900,10.8280,3856.8,4398.2,10.1000
1000,11.7513,4055.2,4642.7,10.3000
1100,12.6745,4259.9,4893.7,10.4897
1200,13.5977,4470.8,5150.7,10.6704
1300,14.5209,4687.3,5413.3,10.8429

P = 0.10
99.61,1.6941,2505.6,2675.0,7.3589
100,1.6959,2506.2,2675.8,7.3611
150,1.9367,2582.9,2776.6,7.6148
200,2.1724,2658.2,2875.5,7.8356
250,2.4062,2733.9,2974.5,8.0346
300,2.6389,2810.7,3074.5,8.2172
400,3.1027,2968.3,3278.6,8.5452
500,3.5655,3132.2,3488.7,8.8362
600,4.0279,3302.8,3705.6,9.0999
700,4.4900,3480.4,3929.4,9.3424
800,4.9519,3665.0,4160.2,9.5682
900,5.4137,3856.7,4398.0,9.7800
1000,5.8755,4055.0,4642.6,9.9800
1100,6.3372,4259.8,4893.6,10.1698
1200,6.7988,4470.7,5150.6,10.3504
1300,7.2605,4687.2,5413.3,10.5229

P = 0.2
120.21,0.88578,2529.1,2706.3,7.1270
150,0.95986,2577.1,2769.1,7.2810
200,1.08049,2654.6,2870.7,7.5081
250,1.19890,2731.4,2971.2,7.7100
300,1.31623,2808.8,3072.1,7.8941
400,1.54934,2967.2,3277.0,8.2236
500,1.78142,3131.4,3487.7,8.5153
600,2.01302,3302.2,3704.8,8.7793
700,2.24434,3479.9,3928.8,9.0221
800,2.47550,3664.7,4159.8,9.2479
900,2.70656,3856.3,4397.7,9.4598
1000,2.93755,4054.8,4642.3,9.6599
1100,3.16848,4259.6,4893.3,9.8497
1200,3.39938,4470.5,5150.4,10.0304
1300,3.63026,4687.1,5413.1,10.2029

P = 0.3
133.52,0.60582,2543.2,2724.9,6.9917
150,0.63402,2571.0,2761.2,7.0792
200,0.71643,2651.0,2865.9,7.3132
250,0.79645,2728.9,2967.9,7.5180
300,0.87535,2807.0,3069.6,7.7037
400,1.03155,2966.0,3275.5,8.0347
500,1.18672,3130.6,3486.6,8.3271
600,1.34139,3301.6,3704.0,8.5915
700,1.49580,3479.5,3928.2,8.8345
800,1.65004,3664.3,4159.3,9.0605
900,1.80417,3856.0,4397.3,9.2725
1000,1.95824,4054.5,4642.0,9.4726
1100,2.11226,4259.4,4893.1,9.6624
1200,2.26624,4470.3,5150.2,9.8431
1300,2.42019,4686.9,5413.0,10.0157

P = 0.4
143.61,0.46242,2553.1,2738.1,6.8955
150,0.47088,2564.4,2752.8,6.9306
200,0.53434,2647.2,2860.9,7.1723
250,0.59520,2726.4,2964.5,7.3804
300,0.65489,2805.1,3067.1,7.5677
400,0.77265,2964.9,3273.9,7.9003
500,0.88936,3129.8,3485.5,8.1933
600,1.00558,3301.0,3703.3,8.4580
700,1.12152,3479.0,3927.6,8.7012
800,1.23730,3663.9,4158.9,8.9274
900,1.35298,3855.7,4396.9,9.1394
1000,1.46859,4054.3,4641.7,9.3396
1100,1.58414,4259.2,4892.9,9.5295
1200,1.69966,4470.2,5150.0,9.7102
1300,1.81516,4686.7,5412.8,9.8828

P = 0.5
151.83,0.37483,2560.7,2748.1,6.8207
200,0.42503,2643.3,2855.8,7.0610
250,0.47443,2723.8,2961.0,7.2725
300,0.52261,2803.3,3064.6,7.4614
350,0.57015,2883.0,3168.1,7.6346
400,0.61731,2963.7,3272.4,7.7956
500,0.71095,3129.0,3484.5,8.0893
600,0.80409,3300.4,3702.5,8.3544
700,0.89696,3478.6,3927.0,8.5978
800,0.98966,3663.6,4158.4,8.8240
900,1.08227,3855.4,4396.6,9.0362
1000,1.17480,4054.0,4641.4,9.2364
1100,1.26728,4259.0,4892.6,9.4263
1200,1.35972,4470.0,5149.8,9.6071
1300,1.45214,4686.6,5412.6,9.7797

P = 0.6
158.83,0.31560,2566.8,2756.2,6.7593
200,0.35212,2639.4,2850.6,6.9683
250,0.39390,2721.2,2957.6,7.1833
300,0.43442,2801.4,3062.0,7.3740
350,0.47428,2881.6,3166.1,7.5481
400,0.51374,2962.5,3270.8,7.7097
500,0.59200,3128.2,3483.4,8.0041
600,0.66976,3299.8,3701.7,8.2695
700,0.74725,3478.1,3926.4,8.5132
800,0.82457,3663.2,4157.9,8.7395
900,0.90179,3855.1,4396.2,8.9518
1000,0.97893,4053.8,4641.1,9.1521
1100,1.05603,4258.8,4892.4,9.3420
1200,1.13309,4469.8,5149.6,9.5229
1300,1.21012,4686.4,5412.5,9.6955

P = 0.8
170.41,0.24035,2576.0,2768.3,6.6616
200,0.26088,2631.1,2839.8,6.8177
250,0.29321,2715.9,2950.4,7.0402
300,0.32416,2797.5,3056.9,7.2345
350,0.35442,2878.6,3162.2,7.4107
400,0.38429,2960.2,3267.7,7.5735
500,0.44332,3126.6,3481.3,7.8692
600,0.50186,3298.7,3700.1,8.1354
700,0.56011,3477.2,3925.3,8.3794
800,0.61820,3662.5,4157.0,8.6061
900,0.67619,3854.5,4395.5,8.8185
1000,0.73411,4053.3,4640.5,9.0189
1100,0.79197,4258.3,4891.9,9.2090
1200,0.84980,4469.4,5149.3,9.3898
1300,0.90761,4686.1,5412.2,9.5625

P = 1.0
179.88,0.19437,2582.8,2777.1,6.5850
200,0.20602,2622.3,2828.3,6.6956
250,0.23275,2710.4,2943.1,6.9265
300,0.25799,2793.7,3051.6,7.1246
350,0.28250,2875.7,3158.2,7.3029
400,0.30661,2957.9,3264.5,7.4670
500,0.35411,3125.0,3479.1,7.7642
600,0.40111,3297.5,3698.6,8.0311
700,0.44783,3476.3,3924.1,8.2755
800,0.49438,3661.7,4156.1,8.5024
900,0.54083,3853.9,4394.8,8.7150
1000,0.58721,4052.7,4640.0,8.9155
1100,0.63354,4257.9,4891.4,9.1057
1200,0.67983,4469.0,5148.9,9.2866
1300,0.72610,4685.8,5411.9,9.4593

P = 1.2
187.96,0.16326,2587.8,2783.8,6.5217
200,0.16934,2612.9,2816.1,6.5909
250,0.19241,2704.7,2935.6,6.8313
300,0.21386,2789.7,3046.3,7.0335
350,0.23455,2872.7,3154.2,7.2139
400,0.25482,2955.5,3261.3,7.3793
500,0.29464,3123.4,3477.0,7.6779
600,0.33395,3296.3,3697.0,7.9456
700,0.37297,3475.3,3922.9,8.1904
800,0.41184,3661.0,4155.2,8.4176
900,0.45059,3853.3,4394.0,8.6303
1000,0.48928,4052.2,4639.4,8.8310
1100,0.52792,4257.5,4891.0,9.0212
1200,0.56652,4468.7,5148.5,9.2022
1300,0.60509,4685.5,5411.6,9.3750

P = 1.4
195.04,0.14078,2591.8,2788.9,6.4675
200,0.14303,2602.7,2803.0,6.4975
250,0.16356,2698.9,2927.9,6.7488
300,0.18233,2785.7,3040.9,6.9553
350,0.20029,2869.7,3150.1,7.1379
400,0.21782,2953.1,3258.1,7.3046
500,0.25216,3121.8,3474.8,7.6047
600,0.28597,3295.1,3695.5,7.8730
700,0.31951,3474.4,3921.7,8.1183
800,0.35288,3660.3,4154.3,8.3458
900,0.38614,3852.7,4393.3,8.5587
1000,0.41933,4051.7,4638.8,8.7595
1100,0.45247,4257.0,4890.5,8.9497
1200,0.48558,4468.3,5148.1,9.1308
1300,0.51866,4685.1,5411.3,9.3036

P = 1.6
201.37,0.12374,2594.8,2792.8,6.4200
225,0.13293,2645.1,2857.8,6.5537
250,0.14190,2692.9,2919.9,6.6753
300,0.15866,2781.6,3035.4,6.8864
350,0.17459,2866.6,3146.0,7.0713
400,0.19007,2950.8,3254.9,7.2394
500,0.22029,3120.1,3472.6,7.5410
600,0.24999,3293.9,3693.9,7.8101
700,0.27941,3473.5,3920.5,8.0558
800,0.30865,3659.5,4153.4,8.2834
900,0.33780,3852.1,4392.6,8.4965
1000,0.36687,4051.2,4638.2,8.6974
1100,0.39589,4256.6,4890.0,8.8878
1200,0.42488,4467.9,5147.7,9.0689
1300,0.45383,4684.8,5410.9,9.2418

P = 1.8
207.11,0.11037,2597.3,2795.9,6.3775
225,0.11678,2637.0,2847.2,6.4825
250,0.12502,2686.7,2911.7,6.6088
300,0.14025,2777.4,3029.9,6.8246
350,0.15460,2863.6,3141.9,7.0120
400,0.16849,2948.3,3251.6,7.1814
500,0.19551,3118.5,3470.4,7.4845
600,0.22200,3292.7,3692.3,7.7543
700,0.24822,3472.6,3919.4,8.0005
800,0.27426,3658.8,4152.4,8.2284
900,0.30020,3851.5,4391.9,8.4417
1000,0.32606,4050.7,4637.6,8.6427
1100,0.35188,4256.2,4889.6,8.8331
1200,0.37766,4467.6,5147.3,9.0143
1300,0.40341,4684.5,5410.6,9.1872

P = 2.0
212.38,0.09959,2599.1,2798.3,6.3390
225,0.10381,2628.5,2836.1,6.4160
250,0.11150,2680.3,2903.3,6.5475
300,0.12551,2773.2,3024.2,6.7684
350,0.13860,2860.5,3137.7,6.9583
400,0.15122,2945.9,3248.4,7.1292
500,0.17568,3116.9,3468.3,7.4337
600,0.19962,3291.5,3690.7,7.7043
700,0.22326,3471.7,3918.2,7.9509
800,0.24674,3658.0,4151.5,8.1791
900,0.27012,3850.9,4391.1,8.3925
1000,0.29342,4050.2,4637.1,8.5936
1100,0.31667,4255.7,4889.1,8.7842
1200,0.33989,4467.2,5147.0,8.9654
1300,0.36308,4684.2,5410.3,9.1384

p = 2.5
223.95,0.07995,2602.1,2801.9,6.2558
225,0.08026,2604.8,2805.5,6.2629
250,0.08705,2663.3,2880.9,6.4107
300,0.09894,2762.2,3009.6,6.6459
350,0.10979,2852.5,3127.0,6.8424
400,0.12012,2939.8,3240.1,7.0170
450,0.13015,3026.2,3351.6,7.1768
500,0.13999,3112.8,3462.8,7.3254
600,0.15931,3288.5,3686.8,7.5979
700,0.17835,3469.3,3915.2,7.8455
800,0.19722,3656.2,4149.2,8.0744
900,0.21597,3849.4,4389.3,8.2882
1000,0.23466,4049.0,4635.6,8.4897
1100,0.25330,4254.7,4887.9,8.6804
1200,0.27190,4466.3,5146.0,8.8618
1300,0.29048,4683.4,5409.5,9.0349

P = 3.0
233.85,0.06667,2603.2,2803.2,6.1856
250,0.07063,2644.7,2856.5,6.2893
300,0.08118,2750.8,2994.3,6.5412
350,0.09056,2844.4,3116.1,6.7450
400,0.09938,2933.6,3231.7,6.9235
450,0.10789,3021.2,3344.9,7.0856
500,0.11620,3108.6,3457.2,7.2359
600,0.13245,3285.5,3682.8,7.5103
700,0.14841,3467.0,3912.2,7.7590
800,0.16420,3654.3,4146.9,7.9885
900,0.17988,3847.9,4387.5,8.2028
1000,0.19549,4047.7,4634.2,8.4045
1100,0.21105,4253.6,4886.7,8.5955
1200,0.22658,4465.3,5145.1,8.7771
1300,0.24207,4682.6,5408.8,8.9502

P = 3.5
